,All people,Males,Females,Lives in a household,Lives in a communal establishment,Schoolchild or full-time student aged 4 and over at their non term-time address,Area (hectares),Density (number of persons per hectare)
S01000050,744,371,373,703,41,7,17,43.05
S01000051,797,364,433,797,-,9,20,38.95
S01000052,627,298,329,627,-,2,19,33.59
S01000053,"1,100",521,579,"1,058",42,2,34,32.76
S01000054,801,365,436,801,-,2,23,34.51
S01000055,803,377,426,724,79,5,12,68.59
S01000056,"1,014",497,517,"1,014",-,37,"1,044",0.97
S01000057,699,344,355,699,-,-,8,90.93
S01000058,712,339,373,694,18,14,17,41.3
S01000059,957,501,456,957,-,8,36,26.82
S01000060,634,306,328,634,-,3,22,28.23
S01000061,"1,001",473,528,"1,000",1,17,47,21.36
S01000062,"1,038",536,502,"1,038",-,13,15,71.07
S01000063,910,439,471,910,-,13,19,47.31
S01000064,623,301,322,623,-,-,12,52.34
S01000065,"1,002",518,484,"1,002",-,9,12,81.47
S01000066,959,578,381,806,153,5,14,67.13
S01000067,"1,065",515,550,"1,065",-,11,26,41.49
S01000068,879,417,462,851,28,16,15,59.64
S01000069,718,334,384,718,-,2,12,60.11
S01000070,658,333,325,658,-,1,8,78.99
S01000071,812,377,435,812,-,2,8,101.18
S01000072,907,417,490,907,-,5,724,1.25
S01000073,630,301,329,626,4,9,16,39.25
S01000074,870,410,460,870,-,-,6,153.69
S01000075,539,250,289,539,-,2,7,71.9
S01000076,721,342,379,721,-,9,17,42.44
S01000077,951,504,447,909,42,11,14,70.38
S01000078,"1,097",618,479,"1,097",-,-,10,110.41
S01000079,"1,448",831,617,"1,422",26,9,16,89.39
S01000080,"1,015",512,503,"1,013",2,3,15,65.87
S01000081,889,462,427,889,-,24,33,26.71
S01000082,933,445,488,904,29,4,100,9.29
S01000083,774,403,371,772,2,7,12,66.82
S01000084,859,444,415,843,16,-,22,39.91
S01000085,520,282,238,513,7,1,5,104.8
S01000086,725,369,356,678,47,5,13,56.79
S01000087,"1,071",546,525,"1,020",51,11,33,32.87
S01000088,934,481,453,916,18,1,7,124.88
S01000089,947,459,488,909,38,14,33,29.06
S01000090,769,388,381,769,-,7,11,67.68
S01000091,"1,096",571,525,"1,032",64,2,7,150.08
S01000092,906,494,412,906,-,4,7,138.99
S01000093,735,372,363,705,30,4,6,127.75
S01000094,712,367,345,712,-,3,6,113.51
S01000095,717,370,347,712,5,12,8,89.08
S01000096,690,343,347,690,-,3,63,10.98
S01000097,"1,001",497,504,977,24,27,31,32.32
S01000098,"1,240",691,549,"1,168",72,3,73,17.04
S01000099,811,402,409,811,-,9,42,19.11
S01000100,871,506,365,797,74,5,15,58.89
S01000101,888,453,435,886,2,10,40,22.07
S01000102,795,418,377,795,-,1,9,84.93
S01000103,628,308,320,628,-,6,10,61.53
S01000104,905,446,459,901,4,35,37,24.76
S01000105,870,428,442,870,-,10,21,42.33
S01000106,724,351,373,724,-,36,12,59.63
S01000107,"1,269",710,559,"1,268",1,15,14,92.48
S01000108,753,392,361,706,47,4,58,12.96
S01000109,"1,019",544,475,"1,017",2,7,29,34.96
S01000110,846,379,467,826,20,5,28,29.85
S01000111,791,394,397,783,8,10,11,68.93
S01000112,983,480,503,980,3,6,11,93.53
S01000113,607,303,304,607,-,20,11,53.73
S01000114,814,401,413,763,51,1,31,25.91
S01000115,838,398,440,838,-,3,23,36.85
S01000116,923,467,456,923,-,7,7,129.13
S01000117,"1,033",477,556,985,48,21,18,57.65
S01000118,712,344,368,692,20,2,22,31.95
S01000119,835,426,409,835,-,2,6,146.57
S01000120,566,274,292,566,-,2,6,100.04
S01000121,718,363,355,703,15,10,32,22.59
S01000122,701,338,363,701,-,2,8,83.68
S01000123,673,340,333,669,4,7,269,2.5
S01000124,988,518,470,850,138,6,5,185.99
S01000125,648,320,328,648,-,2,5,125.85
S01000126,945,481,464,945,-,2,10,91.28
S01000127,766,367,399,766,-,14,13,57.66
S01000128,"1,804",843,961,"1,078",726,11,18,100.22
S01000129,"1,005",543,462,550,455,8,17,59.38
S01000130,"1,557",833,724,"1,557",-,2,36,43.59
S01000131,622,315,307,622,-,13,15,40.68
S01000132,757,364,393,748,9,2,9,85.78
S01000133,878,422,456,878,-,1,12,75.4
S01000134,728,341,387,728,-,-,11,66.07
S01000135,687,327,360,687,-,6,3,221.56
S01000136,675,314,361,675,-,4,29,23.01
S01000137,967,495,472,954,13,17,14,66.86
S01000138,"1,373",706,667,830,543,12,19,70.86
S01000139,790,368,422,790,-,2,14,56.15
S01000140,853,393,460,853,-,2,16,53.48
S01000141,826,413,413,824,2,10,65,12.73
S01000142,685,319,366,685,-,1,11,61.99
S01000143,618,292,326,618,-,10,25,25.1
S01000144,730,350,380,730,-,3,5,147.98
S01000145,815,373,442,815,-,-,16,50.19
S01000146,"1,537",836,701,"1,537",-,6,9,165.92
S01000147,"1,042",559,483,"1,000",42,4,29,36.17
S01000148,605,297,308,605,-,-,8,71.53
S01000149,"1,180",681,499,"1,180",-,3,20,57.95
S01000150,619,296,323,619,-,3,9,71.19
S01000151,865,387,478,865,-,-,20,44.09
S01000152,"1,288",670,618,"1,188",100,4,49,26.05
S01000153,963,479,484,963,-,1,16,60.83
S01000154,524,248,276,524,-,-,10,51.61
S01000155,739,343,396,739,-,2,13,57.81
S01000156,"1,031",560,471,"1,019",12,2,10,106.3
S01000157,691,320,371,691,-,-,8,83.75
S01000158,926,430,496,926,-,4,11,81.68
S01000159,976,475,501,910,66,11,29,33.36
S01000160,761,356,405,761,-,1,11,71.18
S01000161,915,466,449,915,-,9,10,90.23
S01000162,830,389,441,830,-,5,16,51.56
S01000163,"1,057",516,541,"1,049",8,1,16,67.03
S01000164,929,399,530,530,399,8,18,52.7
S01000165,914,429,485,904,10,3,14,64.11
S01000166,"1,274",626,648,"1,146",128,5,19,65.52
S01000167,701,337,364,682,19,1,12,56.91
S01000168,975,440,535,974,1,1,18,55.41
S01000169,712,349,363,712,-,4,16,44.59
S01000170,"1,133",580,553,"1,125",8,4,19,61.15
S01000171,"1,079",526,553,"1,079",-,3,27,39.72
S01000172,471,222,249,471,-,3,7,65.93
S01000173,849,408,441,849,-,2,12,71.39
S01000174,900,428,472,900,-,8,26,34.83
S01000175,536,283,253,536,-,1,12,46.32
S01000176,762,355,407,582,180,2,13,60.72
S01000177,559,284,275,559,-,1,9,61.26
S01000178,774,375,399,774,-,-,11,69.19
S01000179,877,440,437,877,-,6,56,15.67
S01000180,663,327,336,645,18,3,11,62.39
S01000181,606,295,311,606,-,3,18,33.18
S01000182,916,437,479,916,-,3,12,74.04
S01000183,"1,362",729,633,"1,127",235,18,33,41.14
S01000184,742,368,374,737,5,-,13,56.74
S01000185,887,479,408,878,9,4,10,90.8
S01000186,950,441,509,948,2,3,22,43.41
S01000187,627,310,317,627,-,3,13,46.9
S01000188,"1,219",642,577,730,489,6,26,46.88
S01000189,623,304,319,623,-,1,23,27.11
S01000190,835,394,441,835,-,1,16,52.21
S01000191,"1,223",613,610,"1,223",-,3,25,48.23
S01000192,810,397,413,752,58,5,15,54.77
S01000193,727,346,381,717,10,2,10,71.47
S01000194,872,459,413,872,-,3,9,93.64
S01000195,723,376,347,723,-,1,18,40.12
S01000196,"1,005",464,541,"1,005",-,4,21,47.53
S01000197,587,296,291,587,-,4,12,47.64
S01000198,831,400,431,831,-,1,18,45.99
S01000199,853,423,430,853,-,4,9,94.25
S01000200,833,383,450,833,-,3,20,42.48
S01000201,622,297,325,622,-,5,11,57.27
S01000202,"1,015",511,504,"1,001",14,1,16,64.28
S01000203,712,358,354,712,-,-,9,77.68
S01000204,577,286,291,577,-,-,7,82.33
S01000205,973,487,486,830,143,6,36,26.74
S01000206,704,354,350,704,-,1,10,73.89
S01000207,928,453,475,928,-,4,76,12.17
S01000208,"1,015",505,510,956,59,2,23,43.85
S01000209,"1,391",697,694,"1,391",-,4,18,75.47
S01000210,684,388,296,684,-,4,11,63.36
S01000211,747,376,371,747,-,2,14,54.52
S01000212,754,340,414,754,-,5,11,71.66
S01000213,740,367,373,740,-,2,14,52.05
S01000214,460,218,242,460,-,-,7,68.21
S01000215,"1,160",559,601,"1,035",125,16,"2,349",0.49
S01000216,654,322,332,654,-,1,16,42.12
S01000217,810,425,385,810,-,2,9,86.36
S01000218,666,317,349,666,-,2,12,55.57
S01000219,851,450,401,851,-,2,4,192.6
S01000220,"2,648","1,192","1,456",692,"1,956",16,64,41.58
S01000221,840,388,452,734,106,-,58,14.5
S01000222,737,370,367,737,-,3,15,48.75
S01000223,607,319,288,607,-,1,51,11.94
S01000224,846,390,456,806,40,2,16,53.68
S01000225,576,298,278,576,-,3,39,14.67
S01000226,608,311,297,599,9,1,16,39.17
S01000227,"1,334",647,687,"1,253",81,3,57,23.34
S01000228,829,451,378,827,2,5,56,14.68
S01000229,822,379,443,822,-,5,45,18.38
S01000230,618,308,310,618,-,2,75,8.2
S01000231,694,348,346,694,-,2,15,47.48
S01000232,615,267,348,615,-,4,17,35.3
S01000233,496,223,273,496,-,3,8,62.73
S01000234,697,346,351,697,-,2,33,21.02
S01000235,837,406,431,737,100,4,19,44.06
S01000236,672,325,347,672,-,1,14,47.39
S01000237,816,395,421,816,-,4,80,10.22
S01000238,493,236,257,493,-,1,9,56.26
S01000239,691,339,352,691,-,1,32,21.82
S01000240,634,318,316,634,-,4,16,39.51
S01000241,599,303,296,599,-,9,14,43.97
S01000242,744,383,361,744,-,1,120,6.21
S01000243,649,323,326,649,-,2,13,50.65
S01000244,"1,139",559,580,"1,139",-,6,79,14.42
S01000245,959,491,468,959,-,3,19,49.62
S01000246,689,335,354,689,-,-,15,44.53
S01000247,655,329,326,655,-,4,12,55.72
S01000248,741,388,353,741,-,-,15,48.21
S01000249,650,328,322,650,-,1,18,35.7
S01000250,832,424,408,770,62,8,40,20.95
S01000251,465,234,231,465,-,4,8,61.03
S01000252,790,404,386,790,-,-,11,70.33
S01000253,651,329,322,651,-,6,10,65.74
S01000254,832,433,399,832,-,4,27,30.93
S01000255,586,304,282,586,-,3,10,58.2
S01000256,805,362,443,805,-,3,942,0.85
S01000257,917,472,445,906,11,3,443,2.07
S01000258,608,304,304,608,-,8,14,43.36
S01000259,611,292,319,611,-,1,10,58.72
S01000260,865,401,464,865,-,2,12,71.02
S01000261,900,449,451,892,8,3,36,24.67
S01000262,913,466,447,913,-,3,27,33.81
S01000263,820,429,391,746,74,2,"1,237",0.66
S01000264,909,440,469,909,-,3,13,71.39
S01000265,712,335,377,712,-,2,11,64.83
S01000266,"1,248",588,660,"1,240",8,3,"1,977",0.63
S01000267,720,351,369,641,79,2,38,19.16
S01000268,816,426,390,813,3,6,453,1.8
S01000269,628,301,327,626,2,19,"1,908",0.33
S01000270,"1,031",522,509,"1,031",-,22,"3,047",0.34
S01000271,877,451,426,877,-,4,"1,826",0.48
S01000272,"1,122",532,590,"1,122",-,12,"3,311",0.34
S01000273,620,322,298,620,-,9,"2,893",0.21
S01000274,678,348,330,678,-,2,19,36.28
S01000275,"1,435",712,723,"1,435",-,13,41,34.94
S01000276,786,377,409,782,4,18,26,30.37
S01000277,723,349,374,703,20,2,30,24.48
S01000278,577,273,304,577,-,2,16,34.98
S01000279,956,474,482,875,81,11,"2,760",0.35
S01000280,761,392,369,761,-,5,"3,109",0.24
S01000281,675,336,339,675,-,8,"6,395",0.11
S01000282,750,397,353,735,15,4,"3,974",0.19
S01000283,"1,090",544,546,"1,090",-,21,"8,122",0.13
S01000284,"1,266",620,646,"1,264",2,20,"4,396",0.29
S01000285,719,360,359,719,-,9,"5,656",0.13
S01000286,916,465,451,914,2,8,21,43.22
S01000287,732,354,378,676,56,15,22,33.75
S01000288,807,392,415,807,-,5,20,39.92
S01000289,888,398,490,884,4,5,17,52.27
S01000290,822,396,426,813,9,6,11,71.74
S01000291,951,473,478,884,67,19,44,21.86
S01000292,"1,029",491,538,"1,003",26,18,28,37.4
S01000293,843,405,438,841,2,7,24,35.05
S01000294,648,316,332,648,-,4,11,59.27
S01000295,538,270,268,538,-,6,11,49.17
S01000296,969,485,484,952,17,16,33,29.8
S01000297,729,350,379,729,-,6,20,36.24
S01000298,"1,131",568,563,"1,131",-,16,32,35.46
S01000299,"1,019",493,526,972,47,46,"16,514",0.06
S01000300,759,387,372,759,-,9,"8,562",0.09
S01000301,554,282,272,506,48,9,"59,459",0.01
S01000302,630,311,319,625,5,23,"12,596",0.05
S01000303,584,302,282,566,18,15,"29,340",0.02
S01000304,829,412,417,829,-,11,23,35.88
S01000305,"1,040",513,527,"1,040",-,8,25,41.01
S01000306,790,381,409,790,-,19,"7,277",0.11
S01000307,922,453,469,922,-,10,30,31.03
S01000308,"1,218",598,620,"1,217",1,20,"3,447",0.35
S01000309,"1,203",600,603,"1,188",15,29,"17,103",0.07
S01000310,946,471,475,942,4,7,20,47.01
S01000311,938,473,465,902,36,15,63,14.97
S01000312,539,253,286,512,27,7,31,17.37
S01000313,681,332,349,681,-,12,35,19.69
S01000314,551,285,266,551,-,3,9,59.89
S01000315,667,327,340,659,8,24,40,16.87
S01000316,901,417,484,889,12,13,41,21.85
S01000317,542,248,294,542,-,8,11,48.2
S01000318,549,276,273,549,-,27,18,31.03
S01000319,712,346,366,659,53,4,29,24.25
S01000320,671,344,327,671,-,4,13,53.59
S01000321,595,298,297,595,-,9,433,1.37
S01000322,996,483,513,992,4,43,29,34.43
S01000323,879,434,445,879,-,26,21,41.95
S01000324,835,404,431,835,-,6,19,44.1
S01000325,"1,291",641,650,"1,291",-,18,69,18.82
S01000326,805,389,416,805,-,4,37,21.66
S01000327,811,409,402,809,2,2,27,30.51
S01000328,534,251,283,534,-,1,8,63.16
S01000329,836,396,440,836,-,4,21,40.11
S01000330,"1,322",658,664,"1,317",5,39,"2,945",0.45
S01000331,560,258,302,560,-,12,32,17.39
S01000332,745,341,404,733,12,21,69,10.75
S01000333,948,468,480,938,10,39,"3,119",0.3
S01000334,903,440,463,875,28,19,55,16.52
S01000335,792,393,399,792,-,7,27,29.84
S01000336,"1,440",746,694,"1,380",60,20,"1,985",0.73
S01000337,841,410,431,836,5,15,"6,005",0.14
S01000338,495,262,233,490,5,5,"1,217",0.41
S01000339,"1,236",604,632,"1,194",42,29,60,20.65
S01000340,"1,058",531,527,"1,058",-,19,"6,402",0.17
S01000341,"1,009",523,486,960,49,19,"13,831",0.07
S01000342,478,226,252,474,4,2,18,26.62
S01000343,584,301,283,566,18,28,"4,062",0.14
S01000344,992,502,490,992,-,20,"3,804",0.26
S01000345,626,305,321,626,-,3,99,6.34
S01000346,643,293,350,643,-,4,17,36.92
S01000347,"1,606",757,849,"1,544",62,9,581,2.76
S01000348,730,349,381,730,-,1,20,36.66
S01000349,537,244,293,537,-,5,14,39.22
S01000350,"1,082",524,558,"1,082",-,11,37,29.54
S01000351,939,461,478,939,-,13,35,26.61
S01000352,699,343,356,699,-,7,16,43.77
S01000353,508,250,258,508,-,3,13,39.66
S01000354,"1,576",776,800,"1,576",-,18,"2,497",0.63
S01000355,615,308,307,615,-,4,18,34.61
S01000356,642,325,317,642,-,16,"4,845",0.13
S01000357,580,288,292,580,-,9,13,45.65
S01000358,889,439,450,889,-,14,31,28.83
S01000359,836,430,406,836,-,20,40,20.71
S01000360,536,288,248,529,7,10,"37,111",0.01
S01000361,678,330,348,678,-,9,"2,821",0.24
S01000362,971,503,468,971,-,8,920,1.06
S01000363,"1,178",595,583,"1,178",-,20,"5,156",0.23
S01000364,955,481,474,928,27,20,"10,147",0.09
S01000365,"2,070","1,052","1,018","2,070",-,7,49,42.63
S01000366,"2,125","1,053","1,072","2,123",2,17,"1,824",1.17
S01000367,845,410,435,845,-,14,711,1.19
S01000368,"1,286",660,626,"1,286",-,22,"2,316",0.56
S01000369,938,484,454,938,-,2,"1,475",0.64
S01000370,"1,511",776,735,"1,511",-,11,652,2.32
S01000371,927,435,492,916,11,15,"1,395",0.66
S01000372,951,469,482,913,38,17,33,28.66
S01000373,667,331,336,665,2,7,19,35.7
S01000374,647,324,323,647,-,11,25,25.95
S01000375,612,294,318,612,-,1,14,42.92
S01000376,826,392,434,826,-,5,29,28.16
S01000377,852,447,405,852,-,24,"2,380",0.36
S01000378,543,263,280,543,-,4,19,28.58
S01000379,655,322,333,655,-,18,"1,501",0.44
S01000380,957,485,472,957,-,7,354,2.7
S01000381,"1,621",787,834,"1,604",17,9,798,2.03
S01000382,733,359,374,733,-,31,"5,963",0.12
S01000383,"1,166",578,588,"1,166",-,7,642,1.82
S01000384,706,350,356,704,2,14,"15,220",0.05
S01000385,622,309,313,622,-,1,14,44.18
S01000386,"1,260",629,631,"1,260",-,11,"3,103",0.41
S01000387,871,418,453,871,-,10,"1,442",0.6
S01000388,"1,083",545,538,"1,053",30,9,"2,504",0.43
S01000389,861,427,434,861,-,7,19,46.42
S01000390,822,389,433,778,44,2,26,31.06
S01000391,726,339,387,694,32,11,36,20.16
S01000392,800,388,412,800,-,7,729,1.1
S01000393,891,427,464,878,13,11,36,24.94
S01000394,693,350,343,693,-,4,16,44
S01000395,800,400,400,800,-,11,"4,991",0.16
S01000396,843,383,460,843,-,2,23,36.89
S01000397,938,455,483,934,4,11,28,33.92
S01000398,"2,417","1,234","1,183","2,408",9,38,"4,751",0.51
S01000399,598,286,312,594,4,6,62,9.59
S01000400,803,381,422,803,-,8,15,54.38
S01000401,904,480,424,904,-,21,"5,971",0.15
S01000402,751,372,379,751,-,6,33,22.72
S01000403,787,386,401,768,19,4,34,22.96
S01000404,708,368,340,708,-,3,14,49.56
S01000405,522,269,253,522,-,4,"2,718",0.19
S01000406,534,272,262,534,-,3,24,22.22
S01000407,595,289,306,595,-,5,18,32.53
S01000408,609,289,320,609,-,4,14,44.36
S01000409,579,295,284,579,-,6,14,42.81
S01000410,748,379,369,743,5,17,"2,969",0.25
S01000411,702,355,347,702,-,12,"2,774",0.25
S01000412,798,407,391,798,-,9,"3,066",0.26
S01000413,871,448,423,865,6,15,775,1.12
S01000414,694,342,352,694,-,17,27,25.54
S01000415,927,450,477,927,-,10,846,1.1
S01000416,910,440,470,910,-,9,344,2.65
S01000417,"1,008",505,503,"1,006",2,15,78,12.86
S01000418,718,368,350,718,-,15,"6,035",0.12
S01000419,"1,523",769,754,"1,517",6,10,"4,299",0.35
S01000420,"1,339",645,694,"1,311",28,13,48,27.95
S01000421,786,411,375,786,-,11,"2,430",0.32
S01000422,947,443,504,906,41,12,51,18.63
S01000423,"1,026",518,508,"1,026",-,15,"2,581",0.4
S01000424,743,383,360,743,-,11,893,0.83
S01000425,842,410,432,842,-,12,"1,149",0.73
S01000426,826,432,394,826,-,14,"2,911",0.28
S01000427,743,393,350,741,2,4,15,48.74
S01000428,666,332,334,663,3,4,19,34.23
S01000429,871,424,447,871,-,6,25,34.86
S01000430,501,251,250,488,13,9,35,14.37
S01000431,722,330,392,680,42,8,34,21.41
S01000432,881,423,458,876,5,7,93,9.44
S01000433,510,221,289,510,-,3,28,18.12
S01000434,602,269,333,602,-,1,13,46.1
S01000435,514,243,271,514,-,1,14,35.55
S01000436,629,318,311,629,-,5,11,59.16
S01000437,947,463,484,889,58,3,21,45.48
S01000438,594,295,299,590,4,12,37,16.18
S01000439,823,420,403,823,-,7,"6,070",0.14
S01000440,"1,091",559,532,"1,091",-,10,"4,765",0.23
S01000441,900,463,437,898,2,5,"11,152",0.08
S01000442,843,419,424,843,-,8,"2,495",0.34
S01000443,608,318,290,608,-,9,"4,216",0.14
S01000444,"2,534","1,266","1,268","2,528",6,23,"2,886",0.88
S01000445,"1,201",594,607,"1,201",-,9,"1,990",0.6
S01000446,951,498,453,951,-,12,"7,541",0.13
S01000447,782,393,389,782,-,9,29,26.94
S01000448,859,429,430,859,-,8,"4,874",0.18
S01000449,740,343,397,708,32,8,25,29.83
S01000450,553,284,269,553,-,3,15,35.91
S01000451,855,441,414,855,-,21,"3,474",0.25
S01000452,573,314,259,559,14,16,"2,271",0.25
S01000453,584,303,281,560,24,5,"6,541",0.09
S01000454,443,199,244,443,-,3,85,5.19
S01000455,846,436,410,846,-,6,"4,257",0.2
S01000456,"1,132",574,558,"1,129",3,14,"9,781",0.12
S01000457,819,374,445,781,38,16,35,23.24
S01000458,930,480,450,930,-,7,"5,697",0.16
S01000459,"1,013",491,522,"1,011",2,8,46,22.05
S01000460,707,336,371,707,-,3,35,20.05
S01000461,865,419,446,857,8,2,17,50.12
S01000462,"1,034",488,546,991,43,8,45,23.2
S01000463,733,382,351,731,2,4,237,3.1
S01000464,848,435,413,848,-,15,"12,819",0.07
S01000465,665,350,315,665,-,11,"4,596",0.14
S01000466,880,447,433,880,-,14,"5,897",0.15
S01000467,614,303,311,614,-,2,31,19.75
S01000468,535,274,261,535,-,8,"3,796",0.14
S01000469,641,328,313,641,-,5,136,4.72
S01000470,"1,064",605,459,913,151,8,88,12.02
S01000471,837,417,420,837,-,7,"2,694",0.31
S01000472,759,388,371,759,-,1,12,65.79
S01000473,661,313,348,661,-,5,14,48.59
S01000474,625,312,313,625,-,9,"6,167",0.1
S01000475,727,336,391,727,-,2,12,61.38
S01000476,627,318,309,627,-,14,"3,291",0.19
S01000477,674,308,366,674,-,5,18,38.01
S01000478,790,398,392,790,-,3,32,24.42
S01000479,847,399,448,843,4,4,19,45.16
S01000480,670,310,360,670,-,12,24,27.38
S01000481,"2,138","1,032","1,106","2,120",18,21,"3,838",0.56
S01000482,896,456,440,868,28,4,41,21.84
S01000483,983,470,513,978,5,2,25,38.89
S01000484,805,418,387,770,35,5,21,37.52
S01000485,987,489,498,952,35,5,24,41.31
S01000486,"1,132",589,543,"1,118",14,3,34,33.14
S01000487,621,278,343,559,62,3,18,34.78
S01000488,624,281,343,624,-,1,14,43.22
S01000489,937,481,456,904,33,2,27,34.58
S01000490,540,288,252,540,-,1,43,12.66
S01000491,539,259,280,535,4,-,15,36.2
S01000492,951,469,482,951,-,7,16,58.15
S01000493,641,317,324,641,-,4,27,23.7
S01000494,551,272,279,551,-,1,9,62.7
S01000495,903,455,448,893,10,5,28,32.42
S01000496,529,276,253,529,-,8,23,23.46
S01000497,768,379,389,768,-,2,41,18.65
S01000498,520,244,276,520,-,5,24,21.56
S01000499,"1,020",500,520,"1,020",-,12,84,12.21
S01000500,604,291,313,604,-,4,13,46.23
S01000501,577,271,306,576,1,5,24,24.41
S01000502,638,332,306,614,24,6,"4,040",0.16
S01000503,494,250,244,494,-,8,"3,504",0.14
S01000504,770,357,413,768,2,12,41,19.01
S01000505,727,370,357,722,5,7,"2,342",0.31
S01000506,"1,024",529,495,996,28,10,"4,634",0.22
S01000507,995,474,521,986,9,4,22,46.15
S01000508,889,478,411,879,10,9,"6,551",0.14
S01000509,"1,045",488,557,"1,001",44,5,27,38.95
S01000510,665,319,346,665,-,8,32,20.68
S01000511,573,285,288,573,-,6,"1,843",0.31
S01000512,990,484,506,990,-,6,32,31.2
S01000513,881,438,443,881,-,7,"2,429",0.36
S01000514,941,466,475,941,-,13,"3,475",0.27
S01000515,551,286,265,551,-,8,"2,459",0.22
S01000516,883,456,427,883,-,7,"1,135",0.78
S01000517,737,363,374,737,-,6,"1,622",0.45
S01000518,963,476,487,957,6,2,34,27.99
S01000519,515,278,237,515,-,2,"5,575",0.09
S01000520,"1,129",572,557,"1,129",-,6,"4,936",0.23
S01000521,945,471,474,945,-,4,32,29.77
S01000522,665,318,347,665,-,4,"6,798",0.1
S01000523,851,405,446,800,51,4,42,20.09
S01000524,706,361,345,697,9,7,"5,837",0.12
S01000525,"1,047",524,523,"1,014",33,20,"7,416",0.14
S01000526,"1,000",524,476,964,36,24,"7,618",0.13
S01000527,685,339,346,685,-,8,"2,559",0.27
S01000528,946,478,468,904,42,11,"5,075",0.19
S01000529,805,399,406,799,6,7,"6,559",0.12
S01000530,486,242,244,486,-,9,"3,430",0.14
S01000531,574,301,273,574,-,2,"3,763",0.15
S01000532,788,383,405,775,13,12,41,19.03
S01000533,715,347,368,713,2,11,87,8.24
S01000534,760,348,412,760,-,1,19,40.84
S01000535,"1,020",491,529,"1,020",-,5,23,43.68
S01000536,494,252,242,494,-,5,"3,999",0.12
S01000537,"1,056",533,523,"1,056",-,5,"4,416",0.24
S01000538,740,349,391,740,-,2,19,39.32
S01000539,990,503,487,966,24,8,45,22.11
S01000540,727,368,359,713,14,11,24,30.26
S01000541,592,289,303,592,-,6,15,39.65
S01000542,647,306,341,647,-,5,36,17.97
S01000543,832,400,432,832,-,8,24,34.29
S01000544,667,317,350,667,-,6,35,19.31
S01000545,755,388,367,755,-,3,21,36.38
S01000546,860,431,429,860,-,7,27,32.32
S01000547,543,258,285,543,-,6,14,39.52
S01000548,"1,085",530,555,"1,085",-,6,31,34.76
S01000549,"1,219",624,595,"1,168",51,19,37,33.12
S01000550,471,230,241,471,-,9,16,29.96
S01000551,892,427,465,860,32,6,49,18.29
S01000552,540,276,264,540,-,11,59,9.2
S01000553,888,441,447,888,-,6,19,46.87
S01000554,679,320,359,679,-,1,9,75.99
S01000555,860,420,440,854,6,7,25,35
S01000556,812,401,411,812,-,4,23,34.84
S01000557,913,437,476,913,-,5,15,60.6
S01000558,547,271,276,496,51,10,22,24.49
S01000559,668,322,346,644,24,2,22,30.98
S01000560,"1,086",525,561,"1,078",8,5,30,36.41
